Age	Temperature
0.728	-2.02553293909196
0.73	-1.95897713310064
0.732	-1.8936652802577
0.734	-1.89543186262155
0.736	-1.8977820013227
0.738	-1.91866191708414
0.74	-1.97253255162246
0.742	-1.94575046364526
0.744	-2.11872569186628
0.746	-2.10148791221454
0.748	-2.18446752979734
0.75	-2.07587400419701
0.752	-2.12522634705642
0.754	-2.04288392105933
0.756	-2.09427417812712
0.758	-2.0669489237476
0.76	-2.05454029932456
0.762	-1.99688893593093
0.764	-2.01237010477427
0.766	-2.0005294979506
0.768	-1.87881061734563
0.77	-1.87940938417352
0.772	-1.91117809548233
0.774	-1.79048402029109
0.776	-1.73889053203378
0.778	-1.71742912955097
0.78	-1.47743603349466
0.782	-1.58316570682429
0.784	-1.63799675809347
0.786	-1.48411841329648
0.788	-1.33468563229478
0.79	-1.63201683317574
0.792	-1.72647783901245
0.794	-1.96006988847354
0.796	-2.14221501445029
0.798	-2.25271605132864
0.8	-2.21807519604335
0.802	-2.15544766229411
0.804	-2.16876531057154
0.806	-2.13885732023706
0.808	-2.04337350608546
0.81	-1.95128711677876
0.812	-2.04776447131213
0.814	-1.93344063178738
0.816	-1.8871585713079
0.818	-1.76866912665619
0.82	-1.73339040702305
0.822	-1.72439594276845
0.824	-1.57066909786719
0.826	-1.80155030014571
0.828	-1.78982944066411
0.83	-1.87340446692689
0.832	-1.77200284520468
0.834	-1.71252744120443
0.836	-1.73063037506988
0.838	-1.74845197516459
0.84	-1.98108994069493
0.842	-1.72091776393873
0.844	-1.66966359363035
0.846	-1.54932054214945
0.848	-1.48411841329648
0.85	-1.58471974487984
0.852	-1.35831176651018
0.854	-1.54772608742326
0.856	-1.70336967005918
0.858	-1.62072914454507
0.86	-1.56831322697301
0.862	-1.51463908993832
0.864	-1.46482620771531
0.866	-1.78326143563164
0.868	-2.17273582365279
0.87	-2.15667207130396
0.872	-2.22344965002523
0.874	-2.14430347278168
0.876	-2.21190667511377
0.878	-2.19593227780431
0.88	-2.0992425391968
0.882	-2.11479097581964
0.884	-2.13037564983177
0.886	-2.1286642578942
0.888	-2.12737740728193
0.89	-2.18058680016713
0.892	-2.11654292558511
0.894	-2.1265179302481
0.896	-2.13590297441453
0.898	-2.03003478839182
0.9	-2.04484021950624
0.902	-2.00981182146421
0.904	-1.92608265877008
0.906	-1.76866912665619
0.908	-1.94575046364526
0.91	-1.90595987223829
0.912	-1.81633811180114
0.914	-1.81121846051147
0.916	-1.78194298153565
0.918	-1.80090255548768
0.92	-1.84590480637288
0.922	-1.87581103640745
0.924	-1.99949110027968
0.926	-1.96551191952594
0.928	-2.15381082734697
0.93	-2.07025107344204
0.932	-2.02201216634038
0.934	-1.91694049148144
0.936	-1.92037998340322
0.938	-1.77532638175976
0.94	-1.83656309979237
0.942	-1.73476792888369
0.944	-1.67401891983993
0.946	-1.67039055248347
0.948	-1.63799675809347
0.95	-1.53087478328621
0.952	-1.41332926514586
0.954	-1.33102149048208
0.956	-1.31628627542439
0.958	-1.20170254950282
0.96	-1.1150651583047
0.962	-1.14876370699974
0.964	-1.87641171931105
0.966	-1.56674040312935
0.968	-2.02853727386762
0.97	-1.99636744420151
